"subNum","trial_number","cuedAR","uncuedAR","responseAR","response_error","rt","shape_org","cueType","e1_motion_dir","e2_motion_dir","round_number","coherence","cued_motion_dir","uncued_motion_dir","arDiff","pairAvg","cuedMotDir","pairGlobalOrg","pairMotDirSameness","pairMotDirSameness_wRandom","pairMotSame","pairMotDiff","pairMotRandom","pairSameARCat","pairAR_sameCondition","motDirComp","pairMotCoherent","pairMotDiago","id","corrCoeff","corrPval"
16592,38,-0.37066,-0.37066,0.04633,0.41699,3415,3,2,270,90,0,1,90,270,0,-0.37066,1,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,3,-0.37066,-0.37066,-0.23166,0.139,3061,1,2,180,90,0,1,90,180,0,-0.37066,1,0,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,57,-0.37066,-0.37066,-0.27799,0.09266,3723,1,1,90,270,2,0,9999,9999,0,-0.37066,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,77,-0.37066,-0.37066,-0.32432,0.04633,1603,4,1,0,180,2,1,0,180,0,-0.37066,0,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,137,-0.37066,-0.37066,-0.32432,0.04633,1940,2,2,180,90,2,0,9999,9999,0,-0.37066,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,42,-0.37066,-0.37066,-0.50965,-0.139,2661,4,1,180,180,0,0,9999,9999,0,-0.37066,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,113,-0.32432,-0.32432,-0.09266,0.23166,3136,2,1,180,270,0,1,180,270,0,-0.32432,0,0,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,36,-0.32432,-0.32432,-0.18533,0.139,6924,1,1,270,0,1,0,9999,9999,0,-0.32432,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,120,-0.32432,-0.32432,-0.27799,0.04633,3185,4,1,180,90,2,0,9999,9999,0,-0.32432,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,59,-0.32432,-0.32432,-0.41699,-0.09266,1709,4,2,90,0,2,0,9999,9999,0,-0.32432,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
